Altium Designer Pick and Place Locations
D:\MFD_3\MFD\Project Outputs for Mfd3\Pick Place for Mfd3.csv

========================================================================================================================
File Design Information:

Date:       04.05.21
Time:       00:58
Revision:   79554a0f5f565cc10c8f1beb89a881c875672086
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Mid X","Mid Y","Rotation","Description","LCSC Part #"
"R68","4.7K","Top","1206","54.5807mm","253.4893mm","270","Resistor 1206","C17936"
"SW27","TACT SWITCH 5.2mm","Top","TACT_SWITCH_5.2mm","95.0000mm","256.0000mm","0","Push button 5.2 mm","C412369"
"SW28","TACT SWITCH 5.2mm","Top","TACT_SWITCH_5.2mm","125.0000mm","256.0000mm","0","Push button 5.2 mm","C412369"
"SW29","TACT SWITCH 5.2mm","Top","TACT_SWITCH_5.2mm","155.0000mm","256.0000mm","0","Push button 5.2 mm","C412369"
"SW30","TACT SWITCH 5.2mm","Top","TACT_SWITCH_5.2mm","183.0000mm","256.0000mm","180","Push button 5.2 mm","C412369"
"SW32","TACT SWITCH 5.2mm","Top","TACT_SWITCH_5.2mm","7.0000mm","256.0000mm","180","Push button 5.2 mm","C412369"
"SW33","TACT SWITCH 5.2mm","Top","TACT_SWITCH_5.2mm","35.0000mm","256.0000mm","0","Push button 5.2 mm","C412369"
"U4","74HC165D,653","Top","SOIC-16","78.8217mm","256.1791mm","90","8-Bit Parallel-Load Shift Registers, SOIC-16, LARGE T&R","C5613"
"U3","74HC165D,653","Top","SOIC-16","183.0000mm","140.5000mm","360","8-Bit Parallel-Load Shift Registers, SOIC-16, LARGE T&R","C5613"
"SW25","TACT SWITCH 5.2mm","Top","TACT_SWITCH_5.2mm","183.0000mm","154.0000mm","270","Push button 5.2 mm","C412369"
"SW24","TACT SWITCH 5.2mm","Top","TACT_SWITCH_5.2mm","183.0000mm","178.0000mm","270","Push button 5.2 mm","C412369"
"SW23","TACT SWITCH 5.2mm","Top","TACT_SWITCH_5.2mm","183.0000mm","202.0000mm","270","Push button 5.2 mm","C412369"
"SW22","TACT SWITCH 5.2mm","Top","TACT_SWITCH_5.2mm","183.0000mm","226.0000mm","270","Push button 5.2 mm","C412369"
"SW21","TACT SWITCH 5.2mm","Top","TACT_SWITCH_5.2mm","183.0000mm","58.0000mm","270","Push button 5.2 mm","C412369"
"SW19","TACT SWITCH 5.2mm","Top","TACT_SWITCH_5.2mm","183.0000mm","106.0000mm","270","Push button 5.2 mm","C412369"
"SW18","TACT SWITCH 5.2mm","Top","TACT_SWITCH_5.2mm","183.0000mm","130.0000mm","270","Push button 5.2 mm","C412369"
"R50","4.7K","Top","1206","183.1500mm","159.1058mm","180","Resistor 1206","C17936"
"R49","10K","Top","1206","186.7250mm","148.5458mm","180","Resistor 1206","C17902"
"R48","4.7K","Top","1206","183.0000mm","172.0418mm","180","Resistor 1206","C17936"
"R47","10K","Top","1206","186.9000mm","186.0000mm","180","Resistor 1206","C17902"
"R46","4.7K","Top","1206","182.6750mm","196.6716mm","180","Resistor 1206","C17936"
"R45","10K","Top","1206","186.7750mm","210.0000mm","180","Resistor 1206","C17902"
"R44","4.7K","Top","1206","185.5250mm","231.0750mm","180","Resistor 1206","C17936"
"R43","10K","Top","1206","186.7750mm","218.0000mm","180","Resistor 1206","C17902"
"R42","4.7K","Top","1206","182.2250mm","52.7000mm","180","Resistor 1206","C17936"
"R41","10K","Top","1206","186.8250mm","67.0000mm","180","Resistor 1206","C17902"
"R40","4.7K","Top","1206","185.4000mm","75.9306mm","180","Resistor 1206","C17936"
"R39","10K","Top","1206","186.6500mm","90.3250mm","180","Resistor 1206","C17902"
"R38","4.7K","Top","1206","183.0000mm","100.7716mm","180","Resistor 1206","C17936"
"R37","10K","Top","1206","186.9500mm","113.3750mm","180","Resistor 1206","C17902"
"R36","4.7K","Top","1206","183.0000mm","124.9524mm","180","Resistor 1206","C17936"
"R35","10K","Top","1206","186.5500mm","134.9250mm","180","Resistor 1206","C17902"
"C3","0.1 uF","Top","1206-CAP","179.5000mm","146.5000mm","180","Chip Capacitor, 1206","C24497"
"SW20","TACT SWITCH 5.2mm","Top","TACT_SWITCH_5.2mm","183.0000mm","82.0000mm","270","Push button 5.2 mm","C412369"
"SW15","TACT SWITCH 5.2mm","Top","TACT_SWITCH_5.2mm","7.0000mm","202.0000mm","90","Push button 5.2 mm","C412369"
"C2","0.1 uF","Top","1206-CAP","10.0750mm","137.1000mm","360","Chip Capacitor, 1206","C24497"
"R19","10K","Top","1206","3.2250mm","162.0000mm","360","Resistor 1206","C17902"
"R20","4.7K","Top","1206","6.6790mm","159.0000mm","360","Resistor 1206","C17936"
"R21","10K","Top","1206","3.2500mm","170.0000mm","360","Resistor 1206","C17902"
"R22","4.7K","Top","1206","5.1190mm","184.2865mm","360","Resistor 1206","C17936"
"R23","10K","Top","1206","3.3000mm","194.0000mm","360","Resistor 1206","C17902"
"R24","4.7K","Top","1206","5.1500mm","196.6500mm","360","Resistor 1206","C17936"
"R25","10K","Top","1206","3.0960mm","210.0000mm","360","Resistor 1206","C17902"
"R26","4.7K","Top","1206","4.4683mm","219.7513mm","360","Resistor 1206","C17936"
"R27","10K","Top","1206","3.5250mm","46.9750mm","360","Resistor 1206","C17902"
"R28","4.7K","Top","1206","5.0750mm","50.8999mm","360","Resistor 1206","C17936"
"R29","10K","Top","1206","3.2250mm","76.0000mm","360","Resistor 1206","C17902"
"R30","4.7K","Top","1206","7.7500mm","87.7250mm","360","Resistor 1206","C17936"
"R31","10K","Top","1206","3.1750mm","98.0000mm","360","Resistor 1206","C17902"
"R32","4.7K","Top","1206","7.0447mm","111.6258mm","360","Resistor 1206","C17936"
"R33","10K","Top","1206","3.5750mm","136.0000mm","360","Resistor 1206","C17902"
"R34","4.7K","Top","1206","7.0500mm","123.5000mm","360","Resistor 1206","C17936"
"SW17","TACT SWITCH 5.2mm","Top","TACT_SWITCH_5.2mm","7.0000mm","154.0000mm","90","Push button 5.2 mm","C412369"
"SW16","TACT SWITCH 5.2mm","Top","TACT_SWITCH_5.2mm","7.0000mm","178.0000mm","90","Push button 5.2 mm","C412369"
"SW14","TACT SWITCH 5.2mm","Top","TACT_SWITCH_5.2mm","7.0000mm","226.0000mm","90","Push button 5.2 mm","C412369"
"SW13","TACT SWITCH 5.2mm","Top","TACT_SWITCH_5.2mm","7.0000mm","58.0000mm","90","Push button 5.2 mm","C412369"
"SW12","TACT SWITCH 5.2mm","Top","TACT_SWITCH_5.2mm","7.0000mm","82.0000mm","90","Push button 5.2 mm","C412369"
"SW11","TACT SWITCH 5.2mm","Top","TACT_SWITCH_5.2mm","7.0000mm","106.0000mm","90","Push button 5.2 mm","C412369"
"SW10","TACT SWITCH 5.2mm","Top","TACT_SWITCH_5.2mm","7.0000mm","130.0000mm","90","Push button 5.2 mm","C412369"
"U2","74HC165D,653","Top","SOIC-16","7.0000mm","143.4000mm","180","8-Bit Parallel-Load Shift Registers, SOIC-16, LARGE T&R","C5613"
"U1","74HC165D,653","Top","SOIC-16","111.1783mm","27.8209mm","270","8-Bit Parallel-Load Shift Registers, SOIC-16, LARGE T&R","C5613"
"SW8","TACT SWITCH 5.2mm","Top","TACT_SWITCH_5.2mm","155.0000mm","28.0000mm","180","Push button 5.2 mm","C412369"
"SW7","TACT SWITCH 5.2mm","Top","TACT_SWITCH_5.2mm","183.0000mm","8.0000mm","0","Push button 5.2 mm","C412369"
"SW5","TACT SWITCH 5.2mm","Top","TACT_SWITCH_5.2mm","7.0000mm","8.0000mm","0","Push button 5.2 mm","C412369"
"SW4","TACT SWITCH 5.2mm","Top","TACT_SWITCH_5.2mm","35.0000mm","28.0000mm","180","Push button 5.2 mm","C412369"
"SW3","TACT SWITCH 5.2mm","Top","TACT_SWITCH_5.2mm","65.0000mm","28.0000mm","180","Push button 5.2 mm","C412369"
"SW2","TACT SWITCH 5.2mm","Top","TACT_SWITCH_5.2mm","95.0000mm","28.0000mm","180","Push button 5.2 mm","C412369"
"R18","4.7K","Top","1206","120.6548mm","22.2195mm","270","Resistor 1206","C17936"
"R17","10K","Top","1206","132.0000mm","24.4148mm","90","Resistor 1206","C17902"
"R16","4.7K","Top","1206","149.6775mm","24.5750mm","270","Resistor 1206","C17936"
"R15","10K","Top","1206","145.4248mm","24.5750mm","90","Resistor 1206","C17902"
"R14","4.7K","Top","1206","178.2750mm","4.0000mm","180","Resistor 1206","C17936"
"R13","10K","Top","1206","163.3500mm","24.7000mm","90","Resistor 1206","C17902"
"R11","10K","Top","1206","175.7250mm","19.3000mm","90","Resistor 1206","C17902"
"R10","4.7K","Top","1206","5.0000mm","13.9827mm","90","Resistor 1206","C17936"
"R9","10K","Top","1206","78.0000mm","26.0000mm","90","Resistor 1206","C17902"
"R8","4.7K","Top","1206","29.5250mm","28.6000mm","90","Resistor 1206","C17936"
"R7","10K","Top","1206","40.6977mm","24.4500mm","90","Resistor 1206","C17902"
"R6","4.7K","Top","1206","59.0750mm","28.7750mm","90","Resistor 1206","C17936"
"R5","10K","Top","1206","72.5277mm","25.0000mm","90","Resistor 1206","C17902"
"R4","4.7K","Top","1206","91.6000mm","22.8500mm","270","Resistor 1206","C17936"
"R3","10K","Top","1206","105.4000mm","24.9250mm","90","Resistor 1206","C17902"
"R2","4.7K","Top","1206","3.9250mm","28.2500mm","180","Resistor 1206","C17936"
"R1","10K","Top","1206","44.7500mm","23.2500mm","270","Resistor 1206","C17902"
"C1","0.1 uF","Top","1206-CAP","117.4496mm","31.6022mm","90","Chip Capacitor, 1206","C24497"
"R12","4.7K","Top","1206","186.0000mm","26.9588mm","90","Resistor 1206","C17936"
"SW9","TACT SWITCH 5.2mm","Top","TACT_SWITCH_5.2mm","125.0000mm","28.0000mm","180","Push button 5.2 mm","C412369"
"SW6","TACT SWITCH 5.2mm","Top","TACT_SWITCH_5.2mm","183.0000mm","20.0000mm","180","Push button 5.2 mm","C412369"
"P4","USB-B_Vertical","BottomLayer","USB-B_VERTICAL","143.0000mm","5.9620mm","0","",""
"P7","PLD 1X4H","Top","PLD_1X4H","167.0000mm","10.1720mm","0","Header, 4-Pin, SIngle row, Right Angle",""
